"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 8, 17
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\eslint.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\package-lock.json", "JSON", 4934, 0, 0, 0, 0, 0, 0, 0, 1, 4935
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\plan-stockvisorBackend.md", "Markdown", 0, 0, 0, 0, 0, 0, 402, 0, 64, 466
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 3, 5, 52
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\components\AIInsightsSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 294, 0, 0, 8, 39, 341
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\components\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
